x,y,z,results4,results5
-0.138070669,3481.861127,13819.29191,1915.780133,1919.540768
-0.138070669,3481.861127,13819.29191,1915.780133,1919.540768
-0.138070669,3481.861127,13819.29191,1915.780133,1919.540768
-0.138070669,3481.861127,13819.29191,1915.780133,1919.540768
-0.138070669,3481.861127,13819.29191,1915.780133,1919.540768
-0.13334922,3481.716496,13820.76826,1916.284973,1921.094581
-0.132177732,3481.564155,13822.17947,1916.771769,1922.583073
-0.132177732,3481.564155,13822.17947,1916.771769,1922.583073
-0.132177732,3481.564155,13822.17947,1916.771769,1922.583073
-0.132177732,3481.564155,13822.17947,1916.771769,1922.583073
-0.132177732,3481.564155,13822.17947,1916.771769,1922.583073
-0.132177732,3481.564155,13822.17947,1916.771769,1922.583073
-0.132177732,3481.564155,13822.17947,1916.771769,1922.583073
-0.244175057,3481.100469,13819.84,1915.78677,1920.391601
-0.402815386,3480.590585,13817.8669,1914.762714,1918.746745
-0.402815386,3480.590585,13817.8669,1914.762714,1918.746745
